湖南,#genre#
湖南卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040382/main.m3u8#http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南经视,http://183.215.102.57:8089/180000001001/00000001000000000002000000113182/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182567/main.m3u8
湖南都市,http://39.134.242.92:80/180000001002/00000001000000000007000000001249/main.m3u8#http://183.215.102.57:8089/180000001001/00000001000000000007000000001249/main.m3u8
湖南电视剧,http://183.215.102.57:8089/180000001001/00000001000000000007000000001245/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000007000000001245/index.m3u8?
湖南电影,http://39.134.242.92:80/180000001002/00000001000000000007000000001246/main.m3u8#http://183.215.102.57:8089/180000001001/00000001000000000007000000001246/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000007000000001246/index.m3u8?
湖南娱乐,http://39.134.13.35:6610/180000001001/00000001000000000007000000001248/index.m3u8?#http://183.215.102.57:8089/180000001001/00000001000000000007000000001248/main.m3u8
湖南公共,http://39.134.13.35:6610/180000001001/00000001000000000008000000047425/index.m3u8?#http://183.215.102.57:8089/180000001001/00000001000000000008000000047425/main.m3u8
湖南国际,http://39.134.242.92:80/180000001002/00000001000000000008000000047426/main.m3u8#http://183.215.102.57:8089/180000001001/00000001000000000008000000047426/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000008000000047426/index.m3u8?
常德综合,http://183.215.102.57:8089/180000001001/00000001000000000014000000153736/index.m3u8
常德公共,http://183.215.102.57:8089/180000001001/00000001000000000014000000153735/index.m3u8
金鹰卡通,http://39.134.13.35:6610/180000001001/00000001000000000007000000001247/index.m3u8?#http://183.215.102.57:8089/180000001001/00000001000000000007000000001247/main.m3u8
快乐购,http://39.134.242.92:80/180000001002/00000001000000000008000000047427/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000008000000047427/index.m3u8?
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000023000000196697/main.m3u8#http://39.134.242.92:80/180000001002/00000001000000000003000000104065/main.m3u8
金鹰纪实,http://183.215.102.57:8089/180000001001/00000001000000000016000000007228/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182315/main.m3u8
湖南茶频道,http://183.215.102.57:8089/180000001001/00000001000000000025000000316196/index.m3u8
湖南快乐垂钓,http://183.215.102.57:8089/180000001001/00000001000000000010000000040368/index.m3u8
先锋乒羽,http://183.215.102.57:8089/180000001001/00000000000000020000000000182319/main.m3u8

中央,#genre#
CCTV1,http://183.215.102.57:8089/180000001001/00000001000000000007000000001243/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://183.215.102.57:8089/180000001001/00000001000000000008000000047431/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV3,http://183.215.102.57:8089/180000001001/00000001000000000008000000047432/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://183.215.102.57:8089/180000001001/00000001000000000008000000047433/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://183.215.102.57:8089/180000001001/00000001000000000008000000047434/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://183.215.102.57:8089/180000001001/00000001000000000008000000047442/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://183.215.102.57:8089/180000001001/00000001000000000008000000047435/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://183.215.102.57:8089/180000001001/00000001000000000008000000047436/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV8,http://183.215.102.57:8089/180000001001/00000001000000000008000000047437/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://183.215.102.57:8089/180000001001/00000001000000000008000000047438/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://183.215.102.57:8089/180000001001/00000001000000000008000000047439/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV11,http://183.215.102.57:8089/180000001001/00000001000000000026000000446966/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://183.215.102.57:8089/180000001001/00000001000000000008000000047440/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV13,http://183.215.102.57:8089/180000001001/00000001000000000050000000133801/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182324/main.m3u8
CCTV14,http://183.215.102.57:8089/180000001001/00000001000000000008000000047441/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://183.215.102.57:8089/180000001001/00000001000000000026000000446967/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://183.215.102.57:8089/180000001001/00000001000000000025000000024152/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CETV-1,http://183.215.102.57:8089/180000001001/00000001000000000016000000007220/main.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226132/index.m3u8
CGTN-国际台,http://183.215.102.57:8089/180000001001/00000000000000020000000000182292/main.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226314/index.m3u8
CGTN纪录,http://183.215.102.57:8089/180000001001/00000000000000020000000000182305/main.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
CCTV-4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8


地方,#genre#
凤凰中文,http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8#http://117.169.124.43:6610/ysten-businessmobile/live/fhchinese/index.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰资讯,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8#http://111.13.42.10/PLTV/88888888/224/3221225949/1.m3u8#http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
东南卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040459/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047445/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
北京卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047443/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8
天津卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047444/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226182/index.m3u8
安徽卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007224/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
山东卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047448/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226410/index.m3u8
广东卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040391/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
江苏卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001244/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182287/main.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
河北卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007223/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182263/main.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182563/main.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226551/index.m3u8
深圳卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047446/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226203/index.m3u8
湖北卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047447/main.m3u8#http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226197/index.m3u8
贵州卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040424/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182262/main.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182258/main.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182257/main.m3u8
辽宁卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007225/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
黑龙江卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047449/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226201/index.m3u8
山西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182271/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182271/main.m3u8
